Timestamp,AGE,Gender,Sleep Hours (Last Night),Sleep Quality,Wake-up Time,Breakfast,Steps Walked Today(Approx),Water Intake(Glasses),Exercise Today,Caffeine Intake,Total Screen Time (Hours Today),Social Media Usage Today,Stress Level (1-10),Mood Level Right Now(1-10),Energy Level Right Now(1-10),Work/Study Hours Today (So far),Time Spent Outside Today,Weather (Your Area Today),Completed your goal today?  
24/11/2025 16:31:20,18-20,Male,More than 8 hours,5 (Excellent),After 9 AM,Yes,2000-5000,0-2,"Yes, medium (20-45 min)",1 cup,6-8 hours,3+ hours,9,8,8,2 hours,1–2 hours,Cold,No
24/11/2025 16:35:30,21-23,Male,7-8 hours,4,After 9 AM,No,2000-5000,7-9,No,0 cups,4-6 hours,1-2 hours,3,5,6,1 hours,30–60 minutes,Pleasant,Yes
24/11/2025 16:39:23,18-20,Male,4-5 hours,3,7-8 AM,Yes,2000-5000,5-6,No,1 cup,4-6 hours,1-2 hours,7,3,3,3 hours,30–60 minutes,Cold,No
24/11/2025 16:42:49,21-23,Female,7-8 hours,3,8-9 AM,Yes,2000-5000,3-4,No,0 cups,2-4 hours,1-2 hours,5,6,6,3 hours,30–60 minutes,Cold,Yes
24/11/2025 17:21:12,21-23,Male,7-8 hours,4,5-6 AM,No,0-2000,7-9,"Yes, light (0-20 min)",1 cup,2-4 hours,1-2 hours,5,1,4,3 hours,30–60 minutes,Cold,No
24/11/2025 17:35:39,18-20,Male,5-6 hours,4,8-9 AM,No,"8000-10,000",3-4,No,0 cups,2-4 hours,30-60 min,4,4,5,3 hours,10–30 minutes,Cold,No
24/11/2025 19:17:40,18-20,Female,6-7 hours,4,After 9 AM,Yes,2000-5000,5-6,No,1 cup,2-4 hours,1-2 hours,7,8,8,3 hours,30–60 minutes,Cold,Yes
24/11/2025 19:37:09,21-23,Female,5-6 hours,3,After 9 AM,No,5000-8000,9+,No,0 cups,2-4 hours,30-60 min,9,7,8,5+ hours,30–60 minutes,Pleasant,Yes
24/11/2025 21:01:49,18-20,Female,6-7 hours,4,7-8 AM,Yes,0-2000,5-6,No,0 cups,4-6 hours,1-2 hours,4,5,5,3 hours,10–30 minutes,Cold,No
25/11/2025 01:09:30,18-20,Female,5-6 hours,5 (Excellent),7-8 AM,Yes,"8000-10,000",7-9,"Yes, light (0-20 min)",1 cup,2-4 hours,30-60 min,1,10,10,5+ hours,2+ hours,Pleasant,Yes
25/11/2025 10:28:56,21-23,Male,7-8 hours,3,6-7 AM,No,5000-8000,3-4,No,3 cups,8+ hours,1-2 hours,4,5,6,3 hours,2+ hours,Cold,No
25/11/2025 13:47:08,18-20,Male,6-7 hours,4,7-8 AM,Yes,5000-8000,3-4,"Yes, medium (20-45 min)",0 cups,2-4 hours,1-2 hours,9,9,9,3 hours,10–30 minutes,Cold,Yes
25/11/2025 21:11:05,21-23,Male,7-8 hours,4,6-7 AM,Yes,2000-5000,5-6,No,0 cups,4-6 hours,1-2 hours,6,6,9,3 hours,1–2 hours,Cold,Yes
25/11/2025 21:11:06,18-20,Male,6-7 hours,4,7-8 AM,No,2000-5000,3-4,No,0 cups,6-8 hours,3+ hours,7,7,8,3 hours,30–60 minutes,Cold,Yes
26/11/2025 11:26:58,18-20,Male,Less than 4 hours,1 (Very poor),6-7 AM,No,"8000-10,000",5-6,No,0 cups,8+ hours,3+ hours,8,5,4,0 hours,0–10 minutes,Cold,No
26/11/2025 11:36:30,21-23,Male,5-6 hours,4,5-6 AM,Yes,2000-5000,3-4,"Yes, medium (20-45 min)",0 cups,Less than 2 hours,0-30 min,2,8,9,3 hours,1–2 hours,Cold,Yes
26/11/2025 11:45:12,21-23,Female,4-5 hours,3,7-8 AM,No,0-2000,3-4,No,0 cups,Less than 2 hours,0-30 min,8,7,8,2 hours,1–2 hours,Cold,Yes
26/11/2025 12:07:02,21-23,Male,5-6 hours,4,6-7 AM,No,"10,000+",7-9,"Yes, light (0-20 min)",0 cups,Less than 2 hours,0-30 min,2,9,9,1 hours,2+ hours,Cold,Yes
26/11/2025 12:21:10,18-20,Male,7-8 hours,3,6-7 AM,Yes,5000-8000,3-4,No,0 cups,4-6 hours,3+ hours,8,2,8,0 hours,1–2 hours,Cold,No
26/11/2025 12:59:18,18-20,Male,5-6 hours,3,8-9 AM,No,2000-5000,3-4,"Yes, medium (20-45 min)",2 cups,2-4 hours,30-60 min,7,7,6,2 hours,1–2 hours,Pleasant,Yes
26/11/2025 13:04:47,18-20,Male,5-6 hours,4,7-8 AM,No,2000-5000,3-4,"Yes, intense (45+ min)",0 cups,2-4 hours,1-2 hours,6,9,8,0 hours,2+ hours,Cold,No
26/11/2025 13:18:37,18-20,Male,7-8 hours,3,8-9 AM,No,"8000-10,000",0-2,"Yes, light (0-20 min)",0 cups,6-8 hours,0-30 min,4,4,8,1 hours,10–30 minutes,Cold,No
26/11/2025 13:43:17,18-20,Male,4-5 hours,4,6-7 AM,No,"8000-10,000",0-2,No,0 cups,6-8 hours,1-2 hours,7,6,5,2 hours,10–30 minutes,Cold,No
01/12/2025 15:36:21,18-20,Female,More than 8 hours,4,After 9 AM,No,5000-8000,0-2,No,0 cups,Less than 2 hours,0-30 min,7,8,8,0 hours,10–30 minutes,Pleasant,No
01/12/2025 16:08:07,18-20,Female,6-7 hours,4,8-9 AM,Yes,5000-8000,3-4,No,1 cup,6-8 hours,2-3 hours,8,7,8,5+ hours,2+ hours,Cold,Yes
01/12/2025 16:09:45,21-23,Male,5-6 hours,3,After 9 AM,No,0-2000,0-2,No,0 cups,6-8 hours,3+ hours,6,4,5,0 hours,2+ hours,Cold,Yes
01/12/2025 16:39:26,21-23,Female,7-8 hours,5 (Excellent),6-7 AM,Yes,2000-5000,9+,"Yes, intense (45+ min)",2 cups,6-8 hours,2-3 hours,5,7,7,2 hours,1–2 hours,Cold,No
01/12/2025 17:12:02,21-23,Male,7-8 hours,4,After 9 AM,No,5000-8000,5-6,No,1 cup,2-4 hours,1-2 hours,1,5,6,1 hours,1–2 hours,Cold,Yes
01/12/2025 19:49:43,21-23,Female,5-6 hours,4,7-8 AM,Yes,"8000-10,000",5-6,"Yes, light (0-20 min)",1 cup,4-6 hours,2-3 hours,7,2,4,3 hours,2+ hours,Cold,Yes
01/12/2025 21:46:48,18-20,Female,6-7 hours,4,After 9 AM,No,5000-8000,3-4,"Yes, light (0-20 min)",0 cups,4-6 hours,1-2 hours,7,6,8,3 hours,2+ hours,Cold,Yes
01/12/2025 22:19:29,21-23,Female,5-6 hours,4,7-8 AM,Yes,2000-5000,5-6,"Yes, light (0-20 min)",0 cups,6-8 hours,3+ hours,4,5,5,5+ hours,2+ hours,Cold,Yes
01/12/2025 22:20:31,18-20,Female,5-6 hours,2,8-9 AM,No,"10,000+",3-4,No,0 cups,4-6 hours,2-3 hours,10,1,1,1 hours,2+ hours,Cold,No
01/12/2025 22:25:27,18-20,Male,6-7 hours,3,After 9 AM,No,0-2000,3-4,"Yes, intense (45+ min)",0 cups,6-8 hours,1-2 hours,2,8,10,3 hours,2+ hours,Cold,Yes
02/12/2025 15:23:41,21-23,Male,7-8 hours,5 (Excellent),5-6 AM,Yes,0-2000,7-9,"Yes, intense (45+ min)",1 cup,2-4 hours,1-2 hours,1,10,10,3 hours,30–60 minutes,Cold,No
02/12/2025 15:32:35,18-20,Female,7-8 hours,5 (Excellent),After 9 AM,No,2000-5000,0-2,No,0 cups,Less than 2 hours,0-30 min,9,2,2,0 hours,30–60 minutes,Cold,No
02/12/2025 15:33:06,18-20,Male,7-8 hours,4,After 9 AM,No,"10,000+",0-2,"Yes, light (0-20 min)",1 cup,8+ hours,3+ hours,8,7,5,0 hours,2+ hours,Cold,No
02/12/2025 15:33:12,18-20,Male,5-6 hours,3,6-7 AM,Yes,"8000-10,000",7-9,"Yes, light (0-20 min)",1 cup,6-8 hours,0-30 min,7,6,9,5+ hours,0–10 minutes,Cold,Yes
02/12/2025 15:33:51,18-20,Male,7-8 hours,3,8-9 AM,Yes,"10,000+",9+,No,0 cups,8+ hours,3+ hours,10,1,2,3 hours,1–2 hours,Cold,No
02/12/2025 15:33:56,21-23,Male,5-6 hours,3,After 9 AM,No,"10,000+",3-4,"Yes, intense (45+ min)",2 cups,6-8 hours,2-3 hours,5,5,5,3 hours,1–2 hours,Cold,Yes
02/12/2025 15:34:10,21-23,Female,5-6 hours,4,8-9 AM,Yes,0-2000,0-2,No,0 cups,2-4 hours,2-3 hours,3,9,9,3 hours,30–60 minutes,Cold,No
02/12/2025 15:34:18,21-23,Male,7-8 hours,4,After 9 AM,No,2000-5000,0-2,No,0 cups,2-4 hours,2-3 hours,8,6,4,1 hours,2+ hours,Pleasant,No
02/12/2025 15:34:21,18-20,Female,5-6 hours,4,After 9 AM,No,5000-8000,5-6,No,1 cup,8+ hours,1-2 hours,7,6,5,3 hours,30–60 minutes,Humid,Yes
02/12/2025 15:34:24,18-20,Male,6-7 hours,4,7-8 AM,Yes,2000-5000,0-2,No,1 cup,2-4 hours,30-60 min,8,5,9,2 hours,10–30 minutes,Cold,No
